Date,Open,High,Low,Close,Volume
2004-01-31,1111.92,1155.38,1105.08,1131.13,18233333332
2004-02-29,1131.13,1158.98,1124.44,1144.94,15547555554
2004-03-31,1144.94,1163.23,1087.16,1126.21,18665499999
2004-04-30,1126.21,1150.57,1107.23,1107.3,17562166667
2004-05-31,1107.3,1127.74,1076.32,1120.68,16292444444
2004-06-30,1120.68,1146.34,1113.32,1140.84,15294166667
2004-07-31,1140.84,1140.84,1078.78,1101.72,16269777778
2004-08-31,1101.72,1109.68,1060.72,1104.24,14770444443
2004-09-30,1104.24,1131.54,1099.18,1114.58,14905483332
2004-10-31,1114.58,1142.05,1090.29,1130.2,17506111110
2004-11-30,1130.2,1188.46,1127.6,1173.82,16922377778
2004-12-31,1173.78,1217.33,1173.78,1211.92,17279166667
2005-01-31,1211.92,1217.8,1163.75,1181.27,17499333333
2005-02-28,1181.27,1212.44,1180.95,1203.6,16276338888
2005-03-31,1203.6,1229.11,1163.69,1180.59,21674527778
2005-04-30,1180.59,1191.88,1136.15,1156.85,24124594443
2005-05-31,1156.85,1199.56,1146.18,1191.5,21845550000
2005-06-30,1191.5,1219.59,1188.3,1191.33,22407800000
2005-07-31,1191.33,1245.15,1183.55,1234.18,20813705553
2005-08-31,1234.18,1245.86,1201.07,1220.33,23350050001
2005-09-30,1220.33,1243.13,1205.35,1228.81,24876394444
2005-10-31,1228.81,1233.34,1168.2,1207.01,27663216665
2005-11-30,1207.01,1270.64,1201.07,1249.48,25057150000
2005-12-31,1249.48,1275.8,1246.59,1248.29,23197850001
2006-01-31,1248.29,1294.9,1245.74,1280.08,27339805558
2006-02-28,1280.08,1297.57,1253.61,1280.66,23811077777
2006-03-31,1280.66,1310.88,1268.42,1294.87,28280577778
2006-04-30,1302.88,1318.16,1280.74,1310.61,24060238890
2006-05-31,1310.61,1326.7,1245.34,1270.09,30173794443
2006-06-30,1270.05,1290.68,1219.29,1270.2,30485144444
2006-07-31,1270.06,1280.42,1224.54,1276.66,25749011112
2006-08-31,1278.53,1306.74,1261.3,1303.82,28047566667
2006-09-30,1303.8,1340.28,1290.93,1335.85,27223022222
2006-10-31,1335.82,1389.45,1327.1,1377.94,31552011111
2006-11-30,1377.76,1407.89,1360.98,1400.63,30746627777
2006-12-31,1400.63,1431.81,1385.93,1418.3,26432655554
2007-01-31,1418.03,1441.61,1403.97,1438.24,31492333333
2007-02-28,1437.9,1461.57,1389.42,1406.82,28802772220
2007-03-31,1406.8,1438.89,1363.98,1420.86,37567916666
2007-04-30,1420.83,1498.02,1416.37,1482.37,31684705556
2007-05-31,1482.37,1535.56,1476.7,1530.62,36087805555
2007-06-30,1530.62,1540.56,1484.18,1503.35,36290444444
2007-07-31,1504.66,1555.9,1454.25,1455.27,39076350000
2007-08-31,1455.18,1503.89,1370.6,1473.99,50767644446
2007-09-30,1473.96,1538.74,1439.29,1526.75,32116499999
2007-10-31,1527.29,1576.09,1489.56,1549.38,42234766664
2007-11-30,1545.79,1545.79,1406.1,1481.14,47914972224
2007-12-31,1479.63,1523.57,1435.65,1468.36,36012038888
2008-01-31,1467.97,1471.77,1270.05,1378.55,54708522221
2008-02-29,1378.6,1396.02,1316.75,1330.63,43631183333
2008-03-31,1330.45,1359.68,1256.98,1322.7,51771761111
2008-04-30,1326.41,1404.57,1324.35,1385.59,47765905556
2008-05-31,1385.97,1440.24,1373.07,1400.38,44994711111
2008-06-30,1399.62,1404.05,1272,1280,53674466666
2008-07-31,1276.69,1292.17,1200.44,1267.38,69433649999
2008-08-31,1269.42,1313.15,1247.45,1282.83,47925561111
2008-09-30,1287.83,1303.04,1106.42,1166.36,77781844443
2008-10-31,1164.17,1167.03,839.8,968.75,88790572223
2008-11-30,968.67,1007.51,741.02,896.24,64255672223
2008-12-31,888.61,918.85,815.69,903.25,62713594442
2009-01-31,902.99,943.85,804.3,825.88,62272577777
2009-02-28,823.09,875.01,734.52,735.09,69162338890
2009-03-31,729.57,832.98,666.79,797.87,89913133333
2009-04-30,793.59,888.7,783.32,872.81,77141844445
2009-05-31,872.74,930.17,866.1,919.14,73119411113
2009-06-30,923.26,956.23,888.86,919.32,62585083333
2009-07-31,920.82,996.68,869.32,987.48,59242105555
2009-08-31,990.22,1039.47,978.51,1020.62,64477372223
2009-09-30,1019.52,1080.15,991.97,1057.08,62386383333
2009-10-31,1054.91,1101.36,1019.95,1036.19,63006105555
2009-11-30,1036.18,1113.69,1029.38,1095.63,47211961111
2009-12-31,1098.89,1130.38,1085.89,1115.1,49730738885
2010-01-31,1116.56,1150.45,1071.59,1073.87,50526433334
2010-02-28,1073.89,1112.42,1044.5,1104.49,46978522223
2010-03-31,1105.36,1180.69,1105.36,1169.43,57601972221
2010-04-30,1171.23,1219.8,1170.69,1186.69,64856616666
2010-05-31,1188.58,1205.13,1040.78,1089.41,70923766664
2010-06-30,1087.3,1131.23,1028.33,1030.71,61170416668
2010-07-31,1031.1,1120.95,1010.91,1101.6,52654505553
2010-08-31,1107.53,1129.24,1039.7,1049.33,47632361110
2010-09-30,1049.72,1157.16,1049.72,1141.2,44216361108
2010-10-31,1143.49,1196.14,1131.87,1183.26,49742372224
2010-11-30,1185.71,1227.08,1173,1180.55,48417261112
2010-12-31,1186.6,1262.6,1186.6,1257.64,44991405555
2011-01-31,1257.62,1302.67,1257.62,1286.12,51202744443
2011-02-28,1289.14,1344.07,1289.14,1327.22,32902033335
2011-03-31,1328.64,1332.28,1249.05,1325.83,49726466668
2011-04-30,1329.48,1364.56,1294.7,1363.61,42980449999
2011-05-31,1365.21,1370.58,1311.8,1345.2,45393877781
2011-06-30,1345.2,1345.2,1258.07,1320.64,47845961112
2011-07-31,1320.64,1356.48,1282.86,1292.28,45056761113
2011-08-31,1292.59,1307.38,1101.54,1218.89,60232872223
