Date,Open,High,Low,Close,Volume
2007-01-31,23.492,26.53,23.082,24.407,6700975
2007-02-28,24.465,26.063,24.066,25.439,5544323
2007-03-31,25.196,25.235,23.462,23.735,3633717
2007-04-30,23.442,24.592,23.112,23.413,4789446
2007-05-31,23.502,24.972,23.18,24.825,7156744
2007-06-30,24.748,26.715,24.465,24.875,8338760
2007-07-31,25.264,26.082,24.105,24.698,6130808
2007-08-31,24.621,25.693,23.16,25.098,4533679
2007-09-30,25.41,29.364,24.981,27.796,7397322
2007-10-31,27.932,28.089,26.014,27.582,8999585
2007-11-30,28.03,29.296,27.202,28.887,7918009
2007-12-31,29.082,32.053,28.887,31.526,13054225
2008-01-31,31.673,35.909,31.575,35.354,50968539
2008-02-29,35.627,41.567,35.373,39.717,56193545
2008-03-31,40.807,41.1,34.244,34.837,90357393
2008-04-30,34.204,38.051,33.815,34.974,50949973
2008-05-31,34.799,36.113,33.289,33.786,38954315
2008-06-30,34.351,40.759,33.786,38.879,46157102
2008-07-31,39.026,40.292,33.066,34.877,43606752
2008-08-31,34.915,36.464,31.419,33.805,31822061
2008-09-30,32.491,33.182,28.809,28.867,33760207
2008-10-31,28.799,29.199,22.137,24.563,37711407
2008-11-30,24.816,26.179,22.196,23.589,28203681
2008-12-31,23.442,25.517,20.569,25.498,29867089
2009-01-31,25.566,26.501,23.54,24.29,23425592
2009-02-28,24.153,25.02,22.4,23.004,27370851
2009-03-31,22.644,24.825,21.787,23.852,43055338
2009-04-30,23.745,24.698,22.946,24.631,32747032
2009-05-31,24.816,27.289,24.611,27.163,52951338
2009-06-30,27.669,28.117,23.988,24.787,69398277
2009-07-31,24.884,25.05,22.985,24.708,57439811
2009-08-31,25.283,25.985,24.232,25.41,45981151
2009-09-30,25.138,25.4,23.442,24.796,42963963
2009-10-31,24.796,26.491,23.715,24.903,60407553
2009-11-30,25.128,25.936,24.66,25.8,45982834
2009-12-31,25.975,26.141,25.098,25.751,37993502
2010-01-31,26.131,26.384,24.64,24.64,50512050
