Date,Open,High,Low,Close,Volume
2005-12-31,119.37,120.36,117.71,118.26,3211925
2006-01-31,118.83,122.93,118.83,121.49,3563863
2006-02-28,120.74,120.93,118.33,119.15,2149256
2006-03-31,119.39,121.99,118.54,121.2,5595276
2006-04-30,120.28,126.34,120.24,126.34,2322526
2006-05-31,126.54,129.19,125.34,128.17,3759481
2006-06-30,127.2,129.44,124.92,127.83,3617478
2006-07-31,129.72,129.72,124.63,127.7,1653611
2006-08-31,127.29,129.27,126.98,128.18,2240056
2006-09-30,127.53,128.25,126.18,126.82,1829478
2006-10-31,126.96,127.89,124.68,127.71,3820510
2006-11-30,127.46,132.83,126.63,132.5,1732080
2006-12-31,132.5,133.49,130.47,132.03,2110170
2007-01-31,132.15,132.22,128.74,130.47,1577955
2007-02-28,130.05,132.62,128.45,132.37,1554205
2007-03-31,132.04,136.06,130.6,133.65,2009274
2007-04-30,133.48,137.85,132.92,136.62,1616129
2007-05-31,136.26,136.48,133.63,134.57,1802829
2007-06-30,133.99,135.5,132.4,135.42,2045948
2007-07-31,135.69,138.39,135.6,136.95,1852835
2007-08-31,136.62,138.09,133.7,136.33,4166346
2007-09-30,135.38,142.88,135.31,142.73,2974925
2007-10-31,142.01,145.22,140.18,144.81,5278004
2007-11-30,144.2,149.27,143.75,146.45,4834577
2007-12-31,146.44,147.46,143.16,146.09,3428465
2008-01-31,146.43,149.25,145.28,148.94,4407325
2008-02-29,148.14,152.43,144.3,151.97,5195627
2008-03-31,152.08,159.05,151.36,157.95,12849596
2008-04-30,155.87,160.16,155.26,156.2,11282273
2008-05-31,154.44,158,153.41,155.74,19530259
2008-06-30,154.75,157.96,153.07,157.48,17433906
2008-07-31,157.67,160.1,155.42,156.2,22355992
2008-08-31,155.24,156.06,146.28,146.89,28422190
2008-09-30,144.66,148.95,138.74,140.63,30188300
2008-10-31,139.7,140.45,123.78,127.42,12814620
2008-11-30,127.22,130.9,124.33,127.09,10470224
2008-12-31,125.99,144.96,125.66,139.59,10233217
2009-01-31,138.74,139.67,127.66,127.96,15714009
2009-02-28,127.52,130.67,124.89,126.53,13192829
2009-03-31,125.84,137.12,124.8,132.59,15635733
2009-04-30,132.26,134.88,128.63,132.05,6169007
2009-05-31,132.33,141.35,132.13,141.08,6180507
2009-06-30,141.73,143.03,137.26,140.03,10283779
2009-07-31,141.24,142.56,138.03,142.17,5070715
2009-08-31,142.89,144.1,140.12,142.99,5641305
2009-09-30,142.63,148,141.4,145.92,5652034
2009-10-31,145.26,149.99,144.75,146.71,5864103
2009-11-30,147.05,150.95,145.87,149.6,5612704
2009-12-31,150.41,150.65,141.68,142.61,8373271
2010-01-31,143.82,145.06,138.06,138.1,9259154
2010-02-28,138.65,139.17,134.09,135.56,16563624
2010-03-31,134.77,137.24,132.09,134.44,14739430
2010-04-30,134.31,136.15,130.51,132.49,17343877
2010-05-31,131.66,131.74,121.01,122.11,66138927
2010-06-30,121.32,123.46,118.54,121.61,51839992
2010-07-31,123.26,130.35,123.24,129.6,28573129
2010-08-31,130.47,132.6,125.44,125.99,24611039
2010-09-30,127.63,135.82,126.1,135.52,32974926
2010-10-31,136.5,140.13,135.93,138.4,34658458
2010-11-30,138.52,141.98,128.95,129.02,31661212
2010-12-31,130.28,133.62,129.72,132.81,25555373
2011-01-31,132.55,136.75,128.15,136.09,26968823
2011-02-28,136.84,137.62,133.74,137.14,15284218
2011-03-31,137.5,141.53,136.8,140.86,30554342
2011-04-30,140.19,147.78,139.76,147.23,21449861
2011-05-31,147.62,148.54,139.18,143.12,34541599
2011-06-30,143.42,146.16,140.39,144.26,42071554
2011-07-31,144.11,144.61,138.86,142.98,40025336
2011-08-31,143.13,144.81,140.47,143,42038082
2011-09-30,142.26,142.5,133.37,133.38,56160928
2011-10-31,132.69,141.88,131.14,137.82,43702350
2011-11-30,135.77,137.97,131.75,133.84,38548271
2011-12-31,134.27,134.62,128.52,128.92,30815992
2012-01-31,129.84,131.65,125.75,130.27,28384360
2012-02-29,131.11,134.26,129.53,132.62,27204483
2012-03-31,132.48,133.05,129.54,132.72,22280161
2012-04-30,132.21,132.84,129.65,131.71,18726383
2012-05-31,132.04,132.19,122.75,123.03,28985306
2012-06-30,123.38,126.74,122.96,125.88,27663138
2012-07-31,125.31,125.58,119.73,122.3,21178080
2012-08-31,122.43,125.59,120.64,124.98,17546241
2012-09-30,124.98,130.88,124.79,127.69,25459568
2012-10-31,128.3,130.51,127.73,128.7,14088865
2012-11-30,128.86,129.29,125.92,129.09,9511149
2012-12-31,129.44,132.03,128.04,130.96,8129052
2013-01-31,131.42,134.87,129.36,134.72,13304735
2013-02-28,135.2,136.03,129.31,129.49,15002422
2013-03-31,128.93,130.11,126.44,127.09,20623572
2013-04-30,127.07,130.85,126.78,130.53,13876850
2013-05-31,130.97,131.06,126.81,128.78,12971607
2013-06-30,128.58,132.89,128.38,128.93,11610789
2013-07-31,129.12,132.11,126.3,131.74,9342861
2013-08-31,131.22,133.17,130.31,130.84,7100956
2013-09-30,130.38,134.23,129.79,133.85,5566806
2013-10-31,134.17,136.71,133.3,134.29,8327895
2013-11-30,133.58,134.66,131.74,134.33,9141331
2013-12-31,133.89,136.6,133.77,135.99,10381352
2014-01-31,134.92,135.4,133.2,133.29,10962469
2014-02-28,133.33,136.57,133.25,136.35,4517888
2014-03-31,136.06,137.87,135.45,136.03,6412573
2014-04-30,136.32,137.26,135.02,136.94,5393008
2014-05-31,136.94,137.59,134.13,134.52,6513589
2014-06-30,134.35,135.16,133.44,135.12,7845696
2014-07-31,135.07,135.17,131.86,132.09,4920937
2014-08-31,132.35,132.61,129.51,129.54,6496589
2014-09-30,129.4,129.65,124.13,124.48,9473851
2014-10-31,124.23,127.01,123.08,123.49,16188524
2014-11-30,123.18,124.22,121.9,122.46,12179630
2014-12-31,122.98,123.43,119.11,119.14,11888498
2015-01-31,118.42,118.46,110.31,111.22,26142689
2015-02-28,111.36,113.49,109.95,110.12,11511363
2015-03-31,110.47,110.54,102.92,105.71,32810516
2015-04-30,105.96,110.75,103.83,110.37,20586966
2015-05-31,110.69,112.68,106.38,107.91,14955823
2015-06-30,107.76,112.33,106.96,109.46,20925007
2015-07-31,108.8,109.9,106.27,107.79,13930477
2015-08-31,107.63,114.81,106.49,110.05,15694991
2015-09-30,110.47,112.21,108.76,109.58,14599401
2015-10-31,109.48,112.63,106.79,107.76,12417131
2015-11-30,108.19,108.23,103.43,103.49,12836407
2015-12-31,104.01,108.2,103.36,106.4,18347468
2016-01-31,106.21,107.48,104.85,105.97,17245472
2016-02-29,106.46,111.27,106.19,106.37,10076610
2016-03-31,106.21,111.51,105.84,111.19,11899404
2016-04-30,111.18,111.9,109.57,111.84,6075351
2016-05-31,112.1,112.9,108.44,108.59,7368258
2016-06-30,108.99,111.34,107.03,108.17,13026225
2016-07-31,108.83,109.13,106.79,108.96,11637980
2016-08-31,108.8,110.725,107.65,108.65,7115234
2016-09-30,108.47,110.25,108.39,109.35,8437063
2016-10-31,109.28,109.361,105.56,106.75,9511199
2016-11-30,107.25,108.35,102.335,102.98,16045989
2016-12-31,103.07,104.911,100.69,102.26,14602736
2017-01-31,100.98,104.93,100.46,104.81,15173497
2017-02-28,104.36,105.04,101.85,102.78,10836420
2017-03-31,102.08,105.64,101.8,103.41,16693670
2017-04-30,103.37,106.085,102.55,105.52,12151112
2017-05-31,105.69,109.06,105.13,108.77,14884827
2017-06-30,108.55,110.72,107.6,110.48,14688379
2017-07-31,109.9,114.501,109.5,114.45,12837319
2017-08-31,114.16,116.28,113,115.03,17599673
2017-09-30,114.97,116.39,113.17,114.1,10813314
2017-10-31,113.48,114.613,111.69,112.38,11692949
2017-11-30,112.03,115.28,111.54,114.73,6764901
2017-12-31,114.41,115.85,112.95,115.61,6585027
2018-01-31,116.09,120.65,114.82,119.58,13496999
2018-02-28,119.83,120.57,117.3,117.41,5437707
2018-03-31,117.16,119.81,116.85,118.33,5840379
2018-04-30,118.71,119.149,115.93,116.04,5088637
2018-05-31,115.5,115.53,110.63,112.24,8453691
2018-06-30,112.17,113.57,110.76,112.06,6227942
2018-07-31,111.43,112.97,111.2,112.1,2610226
2018-08-31,112.03,112.42,108.32,111.21,3988625
2018-09-30,110.63,113.14,110.48,111.16,3450124
2018-10-31,111.02,111.179,108.18,108.41,4441901
2018-11-30,108.99,109.9,107.47,108.27,7022862
2018-12-31,108.47,109.78,107.76,109.48,5926122
2019-01-31,108.75,110.42,107.83,109.31,4822247
2019-02-28,109.47,109.7,107.49,108.56,2760368
2019-03-31,108.62,109.21,106.67,107.02,5666900
