Date,Open,High,Low,Close,Volume
2005-02-28,43.41,43.74,43.22,43.52,1859200
2005-03-31,43.3,44.67,42.35,42.82,41040900
2005-04-30,42.6,43.7,42.16,43.35,38431100
2005-05-31,43.13,43.17,41.33,41.65,31856300
2005-06-30,41.41,44.13,41.4,43.44,36150800
2005-07-31,43.4,43.4,41.7,42.82,33962600
2005-08-31,43.08,44.72,42.81,43.4,32272700
2005-09-30,43.93,47.23,43.85,46.7,44606800
2005-10-31,46.62,47.72,45.83,46.4,45492200
2005-11-30,46.07,49.99,45.32,49.1,37105500
2005-12-31,49.63,53.76,48.8,51.58,79414500
2006-01-31,52.29,57.05,52.1,56.7,103694900
2006-02-28,56.79,57.3,53.33,56.07,86854900
2006-03-31,56.02,58.7,53.15,58.1,92691800
2006-04-30,58.62,65.27,58,65.09,117582700
2006-05-31,65.68,72.26,63.22,64.23,255636200
2006-06-30,62.15,64.19,55.05,61.23,191793500
2006-07-31,61.96,66.42,59.83,63.16,128128700
2006-08-31,62.92,65.22,60.3,62.29,97486200
2006-09-30,61.95,63.63,56.66,59.47,94446600
2006-10-31,59.8,60.65,55.55,60.24,82028600
2006-11-30,61.03,64.43,60.68,64.39,107948600
2006-12-31,64.2,64.55,60.65,63.21,77058500
2007-01-31,63.58,64.98,59.66,64.83,100231100
2007-02-28,65.45,68.33,63.8,66.48,118804193
2007-03-31,66.23,66.75,62.62,65.74,131539923
2007-04-30,65.74,68.73,65.03,67.09,90116700
2007-05-31,66.98,68.46,64.52,65.54,106069300
2007-06-30,65.7,66.76,63.39,64.27,81648500
2007-07-31,64.51,68,63.88,65.79,99600900
2007-08-31,65.5,67.54,63.47,66.52,127884000
2007-09-30,66.74,73.8,66.59,73.51,173425600
2007-10-31,73.49,78.95,71.24,78.62,164532000
2007-11-30,78.4,83.63,76.11,77.32,198264225
2007-12-31,77.39,83.02,77.3,82.46,129973113
2008-01-31,83.56,92.58,83.44,91.4,255433297
2008-02-29,91.75,96.24,87.3,96.18,197999728
2008-03-31,97.52,100.44,89.78,90.41,326476741
2008-04-30,87.86,93.71,85.11,86.65,249369305
2008-05-31,84.51,92.11,83.57,87.45,189148552
2008-06-30,87.47,91.9,84.83,91.4,215864907
2008-07-31,92.53,97.5,88.08,90.08,341075576
2008-08-31,89.5,90.45,76.61,81.71,295069785
2008-09-30,78.16,92,72.51,85.07,510706196
2008-10-31,86.23,90.84,66,71.34,433867158
2008-11-30,71.55,81.72,68.81,80.31,223581760
2008-12-31,77.15,87.1,72.91,86.52,242003413
