Date,Open,High,Low,Close,Volume
2007-04-30,59.5339,60.2623,59.3712,60.2505,1041744.0626649
2007-05-31,60.0539,60.7407,59.9954,60.306,579473.47284396
2007-06-30,59.9676,60.0251,58.0881,58.0881,818761.51670631
2007-07-31,58.0176,58.3431,54.4759,55.496,718299.45542948
2007-08-31,55.2499,58.0047,54.3469,58.0008,1191581.1184594
2007-09-30,58.1684,60.5303,57.307,59.3285,2091170.7849934
2007-10-31,59.5985,60.0153,58.104,59.2471,1202457.1606617
2007-11-30,58.5932,60.4727,55.3363,58.1972,1274951.6804502
2007-12-31,58.7609,59.1905,56.9746,57.4589,1668592.2572783
2008-01-31,56.799,57.5631,53.2295,56.411,2446208.6170159
2008-02-29,56.1579,56.1936,54.2019,54.9819,2447211.2726252
2008-03-31,54.8777,55.3303,53.2295,55.1427,2495214.7955004
2008-04-30,54.6991,57.0272,54.5373,56.6462,6187085.4568457
2008-05-31,56.5896,57.5194,55.6488,56.0378,4315217.1190317
2008-06-30,55.6746,55.894,53.3624,53.6313,3063355.740724
2008-07-31,52.7283,53.9291,51.7578,53.5669,5384244.4989047
2008-08-31,52.8891,53.4587,52.125,52.7154,2659168.6376576
2008-09-30,52.6241,53.1332,43.3584,46.782,4464452.5814606
2008-10-31,46.9696,48.612,36.4942,41.075,13726615.276565
2008-11-30,41.2248,41.986,35.6596,37.7922,8231847.8986921
2008-12-31,37.1432,43.4507,36.2252,43.3633,32009335.934223
2009-01-31,43.1183,46.7066,41.3042,42.9247,34328891.513137
2009-02-28,42.1477,42.5566,38.2219,38.3678,25937226.356485
2009-03-31,37.8438,40.3773,35.085,38.6813,29281799.284034
2009-04-30,38.602,43.6393,38.1733,43.5122,30065157.484637
2009-05-31,43.2235,44.5969,41.6912,44.4013,31841027.845948
2009-06-30,44.3805,45.613,43.6461,45.4751,28204843.367142
2009-07-31,45.2082,48.2915,43.1014,48.1813,27697930.921895
2009-08-31,47.7913,48.1158,45.4295,46.9636,24692850.129801
2009-09-30,46.5974,49.4575,45.6994,49.2619,26461493.309172
2009-10-31,48.6943,49.7473,46.782,48.5971,34574825.299455
2009-11-30,48.4512,49.4347,48.2587,49.0059,22666628.251327
2009-12-31,48.8313,50.6622,48.6884,50.1134,18530802.847754
2010-01-31,50.2047,51.5087,49.1885,49.1955,29994231.944531
2010-02-28,49.0337,49.7581,47.569,49.7303,40681821.246233
2010-03-31,49.4575,50.6999,49.3463,50.4151,33192592.49189
2010-04-30,50.1134,51.5335,49.8673,51.0006,31734833.013051
2010-05-31,50.6622,50.8269,45.0474,48.2706,61082480.066724
2010-06-30,47.698,49.5309,47.0936,48.4343,38459633.100078
2010-07-31,48.1873,50.8319,47.6156,50.557,39379148.909344
2010-08-31,50.428,50.56,49.1737,49.7225,40045372.750122
2010-09-30,49.6867,51.1921,49.5706,51.1673,33795157.274571
2010-10-31,50.8914,51.864,50.7118,51.7588,36832218.245979
2010-11-30,51.5146,52.4654,50.3863,50.7684,39811024.422639
2010-12-31,50.7624,51.5504,50.6483,51.5087,30869104.890678
2011-01-31,51.5087,52.4256,51.4988,52.3562,37322861.470308
2011-02-28,52.0684,52.7868,52.0386,52.772,42689498.530558
2011-03-31,52.7978,52.9417,51.3806,52.7918,52511350.64064
