Date,Open,High,Low,Close,Volume
2005-02-28,79.5694,79.6211,78.9697,79.0513,364905.90344591
2005-03-31,78.7648,79.3207,76.6565,77.7534,2603557.7339688
2005-04-30,77.7206,79.0513,76.7102,78.6943,4536076.5772308
2005-05-31,78.4466,78.9548,77.0931,78.8812,5305920.3317557
2005-06-30,78.745,79.8528,78.1393,79.5326,6234367.5014333
2005-07-31,79.3467,79.3904,78.1442,78.5779,4749469.0198785
2005-08-31,78.0876,79.45,77.2224,79.4342,6088180.3047417
2005-09-30,79.1656,79.2711,77.4372,77.6391,4011483.3030523
2005-10-31,77.478,77.478,75.8868,76.1025,7632551.5476424
2005-11-30,75.9176,76.8743,75.2542,76.3134,5762748.2827443
2005-12-31,76.3134,77.0075,75.5814,76.4039,3814590.5144966
2006-01-31,76.4039,77.1229,75.9176,76.0697,5972196.0521638
2006-02-28,75.9564,76.4686,75.6431,76.2985,2318556.8528933
2006-03-31,75.9176,76.1254,74.5243,74.7103,3185388.4881815
2006-04-30,74.3562,74.8455,73.3677,74.2488,2839639.8404953
2006-05-31,73.7953,74.4785,73.301,73.7774,2812998.4647157
2006-06-30,73.5079,74.1832,72.6198,73.4105,2958887.0205842
2006-07-31,72.9997,74.1981,72.5084,74.1533,4264318.4558842
2006-08-31,73.9684,75.471,73.7465,75.471,2807933.6370198
2006-09-30,75.0435,76.1314,74.4039,75.7923,5116949.0664456
2006-10-31,75.5894,76.2587,74.7521,76.2518,4600364.7961577
2006-11-30,76.0877,77.0981,75.3657,76.9927,3611332.7548638
2006-12-31,76.8017,77.0931,75.5666,75.6899,2920716.2990907
2007-01-31,76.0249,76.1254,75.2463,75.7535,5414022.2765496
2007-02-28,75.836,77.4372,75.0285,76.926,4108112.2115131
2007-03-31,76.557,76.8802,75.9325,76.1025,3862081.4440331
2007-04-30,75.7923,76.4536,75.2194,76.4327,3870830.5140712
2007-05-31,76.0131,76.2726,74.9122,75.1548,3896786.1220349
2007-06-30,74.6416,74.6745,73.0494,74.1981,3706856.591727
2007-07-31,73.9306,74.214,72.955,73.2582,7520334.9959532
2007-08-31,73.4681,74.7231,72.7829,74.6416,4629689.9172461
2007-09-30,74.207,75.1001,73.6471,74.8455,2648814.3877182
2007-10-31,75.0812,75.9176,73.8371,75.2194,5674772.9194792
2007-11-30,74.7103,76.2656,74.3921,75.6501,4717351.5568184
2007-12-31,76.0877,76.0877,73.1737,74.3861,3537558.4163255
2008-01-31,74.927,76.8096,74.4845,76.2935,6744806.0050192
2008-02-29,76.3879,76.55,73.7863,75.4054,5939142.4456483
2008-03-31,75.3507,75.4631,72.8744,74.6347,6605742.9505205
2008-04-30,74.6297,75.4521,73.6392,75.1986,6323317.2180908
2008-05-31,75.3845,75.5725,72.8426,73.2175,5967622.926025
2008-06-30,72.7431,73.674,71.5944,71.9436,5056250.5705431
2008-07-31,72.1117,72.4159,70.1743,71.9127,8488814.1132638
2008-08-31,71.5826,72.0639,70.972,71.689,7019586.733484
2008-09-30,71.5826,72.3155,56.7565,63.709,17786480.304585
2008-10-31,62.9125,64.8229,53.9598,62.1844,24254515.647844
2008-11-30,62.082,65.2973,61.725,63.9567,27412388.959319
