Date,Open,High,Low,Close,Volume
2005-02-28,73.9309,73.9309,73.7804,73.848,1196240.2569965
2005-03-31,73.7345,73.8083,73.4724,73.7066,11856877.248172
2005-04-30,73.572,74.0295,73.5012,73.9229,8551526.1487047
2005-05-31,73.7345,74.0475,73.6588,74.0375,6298610.994515
2005-06-30,73.857,74.0943,73.7804,74.0475,8566458.2957721
2005-07-31,73.8383,73.8383,73.572,73.592,7866553.6578394
2005-08-31,73.4355,73.9229,73.2591,73.9229,6710306.0309747
2005-09-30,73.7156,73.895,73.4454,73.4823,7626688.1742486
2005-10-31,73.2989,73.4554,73.1485,73.2053,7785397.5438749
2005-11-30,73.0607,73.3518,72.9351,73.279,7207101.1624592
2005-12-31,73.0248,73.3708,72.9711,73.0976,12107574.382622
2006-01-31,73.0607,73.3618,73.0607,73.2232,8725743.5608774
2006-02-28,72.9711,73.0407,72.8404,73.0248,18458270.80903
2006-03-31,72.8215,73.0248,72.66,72.8983,10773080.081834
2006-04-30,72.5664,72.8793,72.5365,72.8215,16472255.116979
2006-05-31,72.5963,72.8693,72.4846,72.7059,14322384.118171
2006-06-30,72.5106,72.687,72.388,72.6331,18394334.371213
2006-07-31,72.2832,72.8893,72.2374,72.8604,17445709.104221
2006-08-31,72.6331,73.1395,72.5963,73.1315,8411307.6391504
2006-09-30,72.8793,73.2989,72.8126,73.2132,10900215.530329
2006-10-31,72.998,73.2232,72.8215,73.2232,13768029.537835
2006-11-30,72.988,73.3169,72.8126,73.3079,13912508.068652
2006-12-31,73.1076,73.2411,72.8215,72.8793,19897994.457453
2007-01-31,72.9083,73.0877,72.687,72.988,11267277.663849
2007-02-28,72.8046,73.3618,72.687,73.2411,10726577.023541
2007-03-31,73.0877,73.4554,73.0248,73.3258,13786371.909178
2007-04-30,73.0607,73.3169,72.9183,73.279,12022406.063045
2007-05-31,73.0787,73.1076,72.9271,72.9711,16542540.451297
2007-06-30,72.7059,73.0607,72.5863,73.0507,14988909.894263
2007-07-31,72.7957,73.4654,72.6331,73.4355,22945819.947502
2007-08-31,73.1395,74.0564,73.0169,74.0564,27604323.759301
2007-09-30,73.8183,74.2189,72.7957,74.0664,13805683.470472
2007-10-31,73.848,74.3624,73.5631,74.1431,28292303.146945
2007-11-30,73.9139,75.7748,73.9139,75.1847,19860871.271694
2007-12-31,75.0512,75.2107,74.5936,74.9076,18443605.540355
2008-01-31,74.9804,76.9877,74.8817,76.1475,29157231.93873
2008-02-29,76.0948,76.7435,75.9651,76.7336,26998269.015128
2008-03-31,76.606,77.1104,76.3927,76.7705,19007784.456112
2008-04-30,76.4785,76.5323,75.6782,75.9721,21537420.397956
2008-05-31,75.8984,76.0948,75.2207,75.5595,16861526.34863
2008-06-30,75.3721,75.703,74.797,75.5435,16617129.952175
2008-07-31,75.4289,75.8136,75.1757,75.6712,17457640.374322
2008-08-31,75.4479,75.8416,75.2495,75.7748,16207913.07222
2008-09-30,75.4968,76.8163,75.4479,76.1564,46997393.327311
2008-10-31,76.1475,76.8881,75.4011,76.7435,59406910.51231
2008-11-30,76.5084,77.2858,76.3748,77.2858,21224074.062449
2008-12-31,77.1294,77.6226,76.9609,77.1581,20321156.235082
2009-01-31,77.1781,77.1781,76.7435,76.8163,34199747.671899
2009-02-28,76.6898,76.8063,76.4785,76.5871,20635553.028023
2009-03-31,76.5711,76.8512,76.1037,76.8423,35076084.010022
2009-04-30,76.6898,76.7435,76.3748,76.5971,23410657.896403
2009-05-31,76.3448,76.5971,76.2532,76.4885,21674253.765791
2009-06-30,76.2811,76.4207,75.6352,76.2891,24052790.385412
2009-07-31,76.1844,76.5422,76.0588,76.2711,18995321.43583
2009-08-31,76.1117,76.4985,75.8136,76.4885,18447215.421773
2009-09-30,76.4117,76.5871,76.029,76.5711,18057016.13556
2009-10-31,76.5522,76.7435,76.2811,76.5801,22482591.295376
2009-11-30,76.5173,76.9877,76.4306,76.9509,16337594.90177
2009-12-31,76.9977,76.9977,76.0758,76.1475,18510836.822689
2010-01-31,76.2113,76.7525,76.1844,76.7525,17818067.670206
2010-02-28,76.6619,76.8512,76.5084,76.7973,19321057.550557
2010-03-31,76.6898,76.7435,76.3269,76.5263,23147293.068016
2010-04-30,76.4585,76.6798,76.2014,76.6798,22608438.503808
2010-05-31,76.5263,77.0655,76.5084,76.9509,34941772.94399
2010-06-30,76.8782,77.232,76.7785,77.216,29421276.002726
2010-07-31,77.1204,77.3217,77.0276,77.2958,25348254.222905
2010-08-31,77.223,77.4432,77.205,77.4114,24671156.651231
2010-09-30,77.3127,77.4702,77.1681,77.4442,25975164.610502
2010-10-31,77.3794,77.5678,77.3794,77.5479,25127996.274766
2010-11-30,77.5091,77.5429,77.1871,77.3287,24050019.264657
2010-12-31,77.205,77.3317,76.8323,77.0884,22770293.225921
2011-01-31,77.0466,77.232,76.8881,77.1831,22205485.239666
2011-02-28,77.0655,77.0834,76.6997,77.0286,19684662.304598
2011-03-31,76.9787,77.3038,76.8782,76.928,24575427.572397
2011-04-30,76.8502,77.3586,76.8502,77.3387,18799410.622871
2011-05-31,77.3387,77.6376,77.3187,77.6196,20914887.417982
2011-06-30,77.6346,77.8469,77.5569,77.6127,36830058.972563
2011-07-31,77.6565,77.8659,77.5738,77.8399,29102245.960095
2011-08-31,77.82,78.146,77.802,78.1151,50949940.582134
2011-09-30,78.133,78.168,77.9646,78.0293,33205055.783082
2011-10-31,78.0303,78.0583,77.8679,78.0563,43861875.209278
2011-11-30,78.0991,78.121,78.0383,78.0921,35857849.080084
2011-12-31,78.0991,78.135,78.0413,78.135,43833385.439196
2012-01-31,78.124,78.4569,78.0881,78.1987,46439000.455505
2012-02-29,78.1887,78.2077,78.0423,78.0901,40741200.947717
2012-03-31,78.0563,78.1121,77.8937,78.0243,29345830.685047
2012-04-30,78.0662,78.1937,77.9776,78.168,21453589.48025
2012-05-31,78.1818,78.2366,78.129,78.2267,40268581.386731
2012-06-30,78.2665,78.2665,78.127,78.153,44934169.515565
2012-07-31,78.158,78.3513,78.155,78.3314,44989718.34675
2012-08-31,78.3533,78.3592,78.2017,78.3414,22632718.417739
2012-09-30,78.3572,78.3572,78.2725,78.3483,19607527.425966
2012-10-31,78.3483,78.3483,78.2267,78.2934,19828166.628951
2012-11-30,78.2466,78.3592,78.2466,78.3304,20733810.428473
2012-12-31,78.3224,78.3692,78.3034,78.3384,20730033.998884
2013-01-31,78.3324,78.3872,78.3054,78.3552,25079487.615318
2013-02-28,78.3702,78.414,78.3424,78.3941,17924308.346489
2013-03-31,78.413,78.431,78.3592,78.431,15710432.685314
2013-04-30,78.3762,78.4938,78.3762,78.4748,25115762.007391
2013-05-31,78.4918,78.5078,78.3464,78.3742,17797403.657507
2013-06-30,78.3882,78.4519,78.1719,78.3552,36927090.33769
2013-07-31,78.3034,78.438,78.2376,78.43,25488796.799079
2013-08-31,78.408,78.4748,78.2516,78.407,28048790.659753
2013-09-30,78.3084,78.5776,78.139,78.5776,28078155.309378
2013-10-31,78.5158,78.6164,78.406,78.6164,30473158.125174
2013-11-30,78.5586,78.6722,78.5327,78.6722,20847055.157612
2013-12-31,78.5496,78.6432,78.4798,78.5158,17886085.541488
2014-01-31,78.5327,78.6732,78.4529,78.6732,18734245.139825
2014-02-28,78.6472,78.7211,78.6004,78.7001,88795439.7336
2014-03-31,78.7091,78.748,78.4908,78.6184,73733306.836093
2014-04-30,78.5905,78.749,78.5337,78.7001,22180918.381298
2014-05-31,78.6832,78.8745,78.6472,78.8456,15249609.951931
2014-06-30,78.8186,78.8765,78.6402,78.7809,14714290.021475
2014-07-31,78.7859,78.7939,78.6353,78.7191,27382240.804409
2014-08-31,78.7729,78.9443,78.745,78.8695,40153566.832459
2014-09-30,78.8486,78.8765,78.7141,78.8088,31424761.193181
2014-10-31,78.8765,79.6439,78.7989,79.018,83440011.091487
2014-11-30,79.0619,79.1177,78.9224,79.0997,57561945.06736
2014-12-31,79.1527,79.1726,78.7709,78.8685,21150618.293089
2015-01-31,78.9064,79.364,78.8865,79.364,17234115.674128
2015-02-28,79.357,79.3669,79.0121,79.1317,20062252.088403
2015-03-31,79.1137,79.3291,78.9763,79.3291,20616498.312098
2015-04-30,79.2931,79.4257,79.2563,79.3191,27382108.368515
2015-05-31,79.2881,79.3918,79.2135,79.353,32552110.705957
2015-06-30,79.3799,79.4088,79.1247,79.3799,36375143.682702
2015-07-31,79.3191,79.5344,79.2741,79.4158,48780045.67745
2015-08-31,79.3849,79.6291,79.2821,79.3759,51857407.381805
2015-09-30,79.4148,79.6201,79.3001,79.6112,54773289.599082
2015-10-31,79.6112,79.7636,79.4895,79.4985,68293445.294937
2015-11-30,79.4248,79.4895,79.2553,79.2921,64031322.114383
2015-12-31,79.2363,79.338,79.0479,79.1327,51008247.491146
2016-01-31,79.2483,79.6499,79.1806,79.6499,56082069.263751
2016-02-29,79.6281,79.941,79.5902,79.7328,38369786.770616
2016-03-31,79.7396,79.8742,79.4008,79.8572,57182348.679099
2016-04-30,79.7995,79.924,79.6938,79.8752,35954716.906947
2016-05-31,79.8542,80.0059,79.6848,79.7886,35602135.434491
2016-06-30,79.7806,80.2888,79.7208,80.2629,33272735.541513
2016-07-31,80.3167,80.3357,80.0437,80.2241,34127822.941739
2016-08-31,80.1583,80.2451,79.9889,80.0357,26833998.341249
2016-09-30,80.0168,80.2061,79.9979,80.1393,41577901.831302
2016-10-31,80.1383,80.1383,79.961,80.0995,36247742.359117
2016-11-30,80.0726,80.1971,79.6759,79.7198,62990031.853562
2016-12-31,79.6759,79.7985,79.5194,79.7806,35095013.313168
2017-01-31,79.7008,79.8962,79.6848,79.8662,34539434.704114
2017-02-28,79.7906,80.0377,79.7616,79.8972,22859721.56676
2017-03-31,79.8035,79.9949,79.6729,79.948,22470768.381915
2017-04-30,79.9659,80.1733,79.9081,80.0955,17772725.432592
2017-05-31,80.0596,80.1753,79.939,80.1553,19050801.039161
2017-06-30,80.1015,80.1981,80.0536,80.0915,24285775.22232
2017-07-31,80.0915,80.2549,80.0257,80.2461,18656674.828026
2017-08-31,80.2261,80.4245,80.2261,80.4075,17912865.684572
2017-09-30,80.3975,80.5111,80.2261,80.2549,15687111.928314
2017-10-31,80.2549,80.4145,80.1214,80.1793,21895303.319388
2017-11-30,80.1304,80.2171,79.9889,80.0168,26726077.133734
2017-12-31,80.0257,80.1114,79.9131,79.9889,25322754.293464
2018-01-31,79.9889,79.9889,79.7068,79.7566,28330523.945341
2018-02-28,79.7566,79.932,79.6162,79.6818,32906844.261693
