Date,Open,High,Low,Close,Volume
2006-04-30,12.9,14,12.86,13.81,23431000
2006-05-31,13.92,15.25,12.17,12.63,201820000
2006-06-30,11.82,12.38,9.55,11.14,131530000
2006-07-31,11.32,11.83,10.47,11.41,65716000
2006-08-31,11.41,12.92,11.4,12.91,70083000
2006-09-30,12.82,13.22,10.46,11.45,97763000
2006-10-31,11.63,12.27,10.54,12.27,69762000
2006-11-30,12.49,13.97,12.29,13.97,87173000
2006-12-31,13.94,14.17,12.26,12.86,107647000
2007-01-31,13,13.97,12.01,13.52,79526000
2007-02-28,13.7,14.7,13.15,14.12,80002050
2007-03-31,14.13,14.15,12.36,13.35,120158000
2007-04-30,13.1,14.1,12.92,13.34,94896000
2007-05-31,13.19,13.54,12.62,13.38,80907690
2007-06-30,13.51,13.74,12.09,12.35,102547000
2007-07-31,12.5,13.76,12.35,12.8,68521000
2007-08-31,12.87,13.12,11,12,93860000
2007-09-30,12.02,13.77,11.96,13.65,81762000
2007-10-31,13.61,14.44,12.97,14.36,87007000
2007-11-30,14.02,15.72,13.7,13.9,150603210
2007-12-31,13.95,14.77,13.59,14.7,62947530
2008-01-31,14.86,16.9,14.86,16.82,156138000
2008-02-29,17.03,19.72,16.11,19.67,161116000
2008-03-31,20.22,20.73,16.51,17.04,344113090
2008-04-30,16.49,18.39,16.17,16.72,214935760
2008-05-31,16.27,18.11,15.84,16.67,173693200
2008-06-30,16.49,17.49,16.14,17.26,133328550
2008-07-31,17.72,19.17,16.63,17.53,176950803
2008-08-31,17.26,17.55,12.61,13.37,142671784
2008-09-30,12.46,13.62,10.15,11.85,215846482
2008-10-31,12.16,12.83,8.45,9.58,173222352
2008-11-30,9.71,10.67,8.69,10.23,81689135
2008-12-31,9.27,11.48,9.02,11.2,109219867
2009-01-31,11.07,12.53,10.2,12.52,169229594
2009-02-28,12.28,14.45,12.02,12.88,273271986
2009-03-31,12.98,13.73,11.75,12.79,267581248
2009-04-30,12.92,13,11.64,12.21,147466941
2009-05-31,12.14,15.48,12.1,15.47,176500054
2009-06-30,15.59,15.78,13.27,13.38,238986966
2009-07-31,13.58,13.88,12.27,13.7,153939995
2009-08-31,14.17,14.8,13.33,14.62,159153950
2009-09-30,14.57,17.26,14.45,16.38,246286107
2009-10-31,16.39,17.64,15.78,16.07,223735696
2009-11-30,16.18,18.61,16,18.15,264761446
2009-12-31,18.51,19.11,16.45,16.54,290414904
2010-01-31,17.05,18.45,15.7,15.9,264139752
2010-02-28,16.02,16.47,14.37,16.07,256115948
2010-03-31,16.23,17.31,16.1,17.14,205068716
2010-04-30,17.58,18.4,17.25,18.26,177890743
2010-05-31,18.41,19.44,16.73,18.03,314034996
2010-06-30,18.17,18.94,16.94,18.21,178920399
2010-07-31,18.06,18.1,17.06,17.58,156450241
2010-08-31,18.02,19,17.43,18.93,152144943
2010-09-30,18.96,21.57,18.88,21.31,233345951
2010-10-31,21.52,24.17,21.42,24.17,371534174
2010-11-30,24.35,28.72,23.41,27.44,787434139
2010-12-31,27.78,30.25,27.34,30.18,601850258
2011-01-31,30.29,30.44,26.03,27.39,532002934
2011-02-28,27.71,33.2,27.23,33.11,472723320
2011-03-31,33.58,37.26,33.01,36.77,725065163
2011-04-30,36.42,48.35,36.18,46.88,1530787604
2011-05-31,44.1,46.23,31.97,37.6,2330201738
2011-06-30,37.05,37.5,32.53,33.84,713814373
2011-07-31,33.06,40.35,32.61,38.85,738647355
2011-08-31,38.27,42.78,36.04,40.45,957207040
2011-09-30,40.4,42.3,27.41,28.91,739457391
2011-10-31,29.99,34.44,27.9,33.46,508279087
2011-11-30,31.69,34.39,29.83,32,374648109
2011-12-31,32.14,32.53,25.65,26.94,383860621
2012-01-31,27.98,33.1,27.83,32.28,369576173
2012-02-29,32.96,36.44,31.82,33.55,438520800
2012-03-31,33.75,34.64,30.21,31.38,413790017
2012-04-30,31.52,32.34,29.09,30.11,264225983
2012-05-31,30.36,30.44,25.99,26.96,306850073
2012-06-30,27.47,29.02,25.34,26.65,268935399
2012-07-31,26.66,27.6,25.73,27.12,183995310
2012-08-31,26.45,30.8,26.13,30.79,234142703
2012-09-30,31.19,34.05,30.98,33.48,308559642
2012-10-31,33.76,34.08,30.53,31.27,217034470
2012-11-30,31.5,33.31,29.84,32.36,228940653
2012-12-31,32.52,32.77,28.65,29.37,231825480
2013-01-31,30.38,31.41,28.61,30.44,246055694
2013-02-28,31.02,31.05,27.35,27.54,228380505
2013-03-31,27.67,28.39,27.17,27.43,138607413
2013-04-30,27.08,27.15,21.96,23.46,332886602
2013-05-31,22.69,23.57,20.81,21.44,321607254
2013-06-30,21.67,22.19,17.75,18.97,284658158
2013-07-31,18.98,19.89,18.06,19.14,183025517
2013-08-31,19.09,23.84,18.72,22.6,265708080
2013-09-30,23.57,23.58,20.45,20.9,208806080
2013-10-31,20.18,22.23,19.88,21.1,196012846
2013-11-30,21.09,21.15,18.92,19.24,121631239
2013-12-31,18.89,19.69,18.26,18.71,185759843
2014-01-31,19.35,19.84,18.39,18.45,170890431
2014-02-28,18.62,21.3,18.58,20.35,168888715
2014-03-31,20.67,20.92,18.87,19.04,141405632
2014-04-30,19.01,19.45,18.32,18.46,126275091
2014-05-31,18.19,19.08,17.91,18.08,116217248
2014-06-30,18.06,20.33,17.98,20.25,141691166
2014-07-31,20.31,20.64,19.5,19.58,131349612
2014-08-31,19.68,19.72,18.54,18.71,108159480
2014-09-30,18.45,18.58,16.18,16.35,176418127
2014-10-31,16.45,17.09,15.21,15.5,168819432
2014-11-30,15.41,16,14.64,14.83,183505539
2014-12-31,15.27,16.49,14.87,15.06,200805584
2015-01-31,14.96,17.69,14.89,16.54,192596808
2015-02-28,16.4,16.92,15.4,15.87,133201804
2015-03-31,15.86,16.41,14.63,15.93,145422385
2015-04-30,16.01,16.57,14.93,15.43,126873843
2015-05-31,15.35,16.96,15.25,15.99,114697289
2015-06-30,16.24,16.42,14.8,15.03,142244647
2015-07-31,14.91,15.15,13.73,14.08,151664140
2015-08-31,14.05,14.92,13.35,13.99,129669606
2015-09-30,13.99,14.62,13.64,13.87,95881571
2015-10-31,13.98,15.6,13.83,14.8,131152765
2015-11-30,14.66,14.75,13.36,13.44,93715802
2015-12-31,13.52,13.94,13.04,13.19,128680050
2016-01-31,13.47,13.88,13.1,13.59,99526317
2016-02-29,13.64,15.2,13.561,14.2,148508963
2016-03-31,14.21,15.2761,14.01,14.68,210885065
2016-04-30,14.24,17.09,14.085,16.98,237095923
2016-05-31,16.94,16.95,15.17,15.2,180128325
2016-06-30,15.19,17.9,15.04,17.865,237684555
2016-07-31,18.28,19.45,18.28,19.35,298494969
2016-08-31,19.45,19.71,17.6,17.72,208274130
2016-09-30,17.74,19.116,17.69,18.2,189630349
2016-10-31,18.1,18.11,16.23,16.97,208874870
2016-11-30,17.37,17.87,15.3401,15.66,269475581
2016-12-31,15.51,16.34,14.85,15.11,181115527
2017-01-31,15.25,16.69,15.19,16.63,149273271
2017-02-28,16.54,17.53,16.45,17.37,113307289
2017-03-31,17.34,17.49,15.94,17.25,145773373
2017-04-30,17.21,17.59,16.25,16.3,144240298
2017-05-31,16.22,16.52,15.21,16.39,168340361
2017-06-30,16.16,16.8,15.5,15.71,131148543
2017-07-31,15.37,15.96,14.44,15.9,163984070
2017-08-31,15.83,16.68,15.27,16.65,172692254
2017-09-30,16.71,17.14,15.71,15.74,143547635
2017-10-31,15.75,16.49,15.42,15.79,145442850
