Date,Open,High,Low,Close,Volume
2006-04-30,546,585.84,538.4,556.96,2227854
2006-05-31,561.2,581.52,519.12,541.84,2026095
2006-06-30,534.72,560.16,519.36,558.16,892266
2006-07-31,561.68,596.8,541.12,556.16,1716368
2006-08-31,559.2,578.72,505.6,518.4,1990743
2006-09-30,518,518.4,432.48,454.48,3905679
2006-10-31,453.6,455.2,406.56,416.8,4663630
2006-11-30,417.04,441.68,402,436.64,6249044
2006-12-31,434.4,441.6,408,412.8,3703181
2007-01-31,411.36,411.36,340.48,385.92,16489520
2007-02-28,386,412.32,378.4,409.44,10076386
2007-03-31,407.92,433.6,382.24,426.8,8081645
2007-04-30,428.4,433.76,393.2,409.92,6914755
2007-05-31,408.96,413.04,379.12,391.68,8088804
2007-06-30,393.04,427.6,390.88,424,8567543
2007-07-31,421.6,470.64,418.88,468.24,5722643
2007-08-31,468,473.6,414.08,446.24,7912191
2007-09-30,447.68,514,447.44,500.4,6738141
2007-10-31,498.16,587.44,481.52,586.16,8555131
2007-11-30,585.28,620.72,556.64,559.28,9407508
2007-12-31,553.28,618.56,546.4,606.08,7550331
2008-01-31,619.04,632.72,549.04,578.8,10112943
2008-02-29,577.36,653.68,548.56,643.36,9710080
2008-03-31,651.84,702.32,628,650.88,18367663
2008-04-30,640,770.24,638.16,740,17666835
2008-05-31,726.24,866.88,711.12,824.48,32011508
2008-06-30,815.52,926.16,788.96,909.28,37334128
2008-07-31,925.52,960.08,776.24,799.92,41877148
2008-08-31,796.96,829.12,718.64,742.96,34557903
2008-09-30,695.04,714.4,583.6,656.08,38948008
2008-10-31,636.56,651.52,403.52,444.72,30801308
2008-11-30,430.4,470.24,313.28,336.72,28452132
2008-12-31,328.72,333.12,221.84,264.8,71965544
2009-01-31,270.16,310,227.36,233.76,98292337
2009-02-28,227.52,240,181.92,216.4,93867846
2009-03-31,204.32,257.28,188.24,232.4,74210789
2009-04-30,225.28,249.84,210.24,229.04,42041703
2009-05-31,232.8,291.36,232.16,291.2,33123201
2009-06-30,295.92,320,284.48,303.44,35929158
2009-07-31,309.6,310.96,252.56,294.48,37273588
2009-08-31,303.44,310.4,279.28,288.4,30488809
2009-09-30,289.84,302.72,269.52,289.52,33659039
2009-10-31,290.24,335.36,280,314.56,40247618
2009-11-30,314.64,331.52,298.32,313.2,30886483
2009-12-31,318.88,320.48,281.76,314.24,32967418
2010-01-31,320.32,329.52,284,285.12,28610838
2010-02-28,288.16,313.84,272.56,310.56,33429139
2010-03-31,312.4,325.04,304.16,322.32,28937211
2010-04-30,328.08,337.52,314.32,330.64,25702641
2010-05-31,330.4,335.2,247.44,272.32,49332711
2010-06-30,269.2,288.32,259.6,271.68,29993064
2010-07-31,269.04,284.48,258.16,282.72,23403289
2010-08-31,289.44,297.2,252,255.36,25097728
2010-09-30,259.76,279.68,257.6,278.72,22754360
2010-10-31,282.8,293.36,276.48,281.36,22041394
2010-11-30,289.12,304.48,276.4,288.32,27124248
2010-12-31,293.6,314,289.6,312,16722778
2011-01-31,314.64,315.84,287.44,308.88,26905113
2011-02-28,309.36,324.8,281.68,313.52,42778723
