Date,Open,High,Low,Close,Volume
2007-02-28,22.287,22.369,22.1156,22.1789,31238.211444705
2007-03-31,22.1696,22.4593,21.8713,22.0437,104020.41090769
2007-04-30,22.0792,22.4593,21.727,21.781,610299.86810492
2007-05-31,21.7903,22.2059,21.6906,22.1602,598112.80169135
2007-06-30,22.1966,25.7617,21.411,22.1249,650842.57636238
2007-07-31,22.0885,23.5682,21.6096,21.9161,252478.1112647
2007-08-31,21.9711,22.3233,21.7633,22.0437,432494.90479041
2007-09-30,22.1342,22.314,21.3393,21.385,521560.51026722
2007-10-31,21.4297,21.6999,20.9423,21.1231,1740166.2724196
2007-11-30,21.1949,22.9281,19.4254,21.1856,3262219.9003494
2007-12-31,21.5471,21.8537,20.4457,21.249,5138179.240267
2008-01-31,21.3757,21.5201,20.743,21.0142,4934690.8608368
2008-02-29,21.1585,21.5388,20.4551,20.5808,3740239.2289918
2008-03-31,20.6256,21.249,19.6518,20.0841,4547635.5984396
2008-04-30,20.4001,20.5091,19.8587,20.2743,18238601.675912
2008-05-31,20.5184,20.5808,19.9752,20.3646,20338721.046656
2008-06-30,20.4001,20.6889,20.0572,20.1653,13684994.88713
2008-07-31,20.2193,20.5091,19.813,20.3739,9196788.9449763
2008-08-31,20.4905,21.4838,20.346,21.466,25829755.352731
2008-09-30,21.6999,22.2599,20.4373,21.9161,51985465.365605
2008-10-31,22.233,24.3817,21.8351,23.7583,27940706.35973
2008-11-30,23.7304,24.3453,23.1899,23.804,15703919.376691
2008-12-31,23.9018,24.0295,21.5648,22.287,20223626.46013
2009-01-31,22.4044,23.6679,22.2599,23.4247,14439924.411747
2009-02-28,23.5318,24.0015,22.9458,23.9018,11283284.257239
2009-03-31,24.0648,24.2195,22.3867,23.1442,15992597.024517
2009-04-30,23.1536,23.4871,22.7203,22.874,7962500.7593032
2009-05-31,22.846,22.874,21.3934,21.4204,9719738.1540758
2009-06-30,21.3123,22.053,21.1492,21.5732,17128741.549519
2009-07-31,21.3934,21.7539,21.0142,21.0504,13222769.593043
2009-08-31,20.9423,21.3757,20.798,20.9955,28004670.21429
2009-09-30,21.0411,21.2042,20.346,20.5725,45429300.128369
2009-10-31,20.6339,20.7244,20.0935,20.4905,81295204.478693
2009-11-30,20.428,20.8968,19.8773,20.0124,128742135.91108
2009-12-31,19.9034,20.9423,19.8773,20.8333,157476739.07101
2010-01-31,20.6432,21.1679,20.4001,21.1679,135586346.69134
2010-02-28,21.0859,21.5555,21.0048,21.3393,140157315.43508
2010-03-31,21.4745,21.7903,21.0682,21.4838,119972484.54124
2010-04-30,21.466,21.863,21.1585,21.6282,87394299.993086
2010-05-31,21.7186,23.0548,21.7093,22.874,137178383.65741
2010-06-30,22.9458,23.325,22.4044,22.6205,70937384.967586
2010-07-31,22.3867,22.3867,21.3757,21.4297,67619980.922991
2010-08-31,21.303,21.863,21.0142,21.7726,77249828.193845
2010-09-30,21.5732,21.7093,20.5538,20.6172,64643094.632167
2010-10-31,20.4905,20.5454,20.0124,20.1932,127913203.9779
2010-11-30,20.1569,21.2303,19.7776,21.2135,134559480.10088
2010-12-31,21.0952,21.1492,20.4905,20.4998,98974763.654063
2011-01-31,20.5994,21.1231,20.1298,20.1839,74058859.060784
2011-02-28,20.0841,20.428,19.9034,19.9397,45276027.055786
2011-03-31,19.9128,20.0478,19.5158,19.6686,74789750.358861
2011-04-30,19.7683,19.84,18.857,18.911,70878398.535888
2011-05-31,18.8924,19.7319,18.8113,19.2632,164986028.20044
2011-06-30,19.2092,19.5699,18.9641,19.1542,124525961.47488
2011-07-31,19.1906,19.6248,18.8747,18.9827,93825413.651705
2011-08-31,18.9641,19.3266,18.8384,19.0191,97730494.866272
2011-09-30,19.0918,20.1476,19.0546,20.1382,170159802.77522
2011-10-31,20.2109,20.4187,19.0191,19.4701,171557707.37146
2011-11-30,19.7413,20.2556,19.4794,19.9128,105389499.46656
2011-12-31,19.8773,20.4905,19.8316,20.2836,81292729.718641
2012-01-31,20.1476,20.6256,19.8316,19.9667,114591507.30058
2012-02-29,19.8587,20.1298,19.6248,19.8223,94026734.201428
2012-03-31,19.8223,20.2836,19.7319,19.7776,84555796.360396
2012-04-30,19.7953,20.0665,19.6518,19.6873,35350164.784775
2012-05-31,19.6593,20.7794,19.6425,20.7523,63908156.360909
2012-06-30,20.7075,20.7606,20.2025,20.2836,48044409.982912
2012-07-31,20.3283,20.8874,20.2929,20.4998,46690767.747293
2012-08-31,20.4998,20.7244,20.0665,20.1298,37338111.846366
2012-09-30,20.1382,20.1839,19.4701,19.7869,46002232.836783
2012-10-31,19.7226,19.8223,19.5158,19.759,25434071.698826
2012-11-30,19.759,20.1298,19.7413,19.7869,26096259.966111
2012-12-31,19.7413,19.8848,19.498,19.6873,26972908.836058
2013-01-31,19.6248,19.9034,19.498,19.5158,26434126.957815
2013-02-28,19.4887,20.2025,19.4347,20.1932,21620741.19366
2013-03-31,20.2836,20.482,20.1746,20.4001,23199978.305808
2013-04-30,20.3739,20.4727,20.0124,20.0395,22976322.671002
2013-05-31,19.9938,20.7075,19.9667,20.4094,21004543.111659
2013-06-30,20.4001,20.4373,19.6966,20.3646,36804496.271197
2013-07-31,20.3553,20.743,19.8848,19.9491,50138793.190396
2013-08-31,20.0217,20.1298,19.6966,20.0302,25829578.277532
2013-09-30,20.0841,20.1653,19.4887,19.5251,26518597.193585
2013-10-31,19.4794,19.6518,19.2446,19.5251,26289954.47727
2013-11-30,19.6061,19.8223,19.5437,19.5885,15701151.637674
2013-12-31,19.6518,19.6593,19.363,19.4254,17162691.694464
2014-01-31,19.5605,19.7226,19.4794,19.7049,21202283.522816
2014-02-28,19.6779,19.6966,19.2725,19.2987,19119724.645883
2014-03-31,19.3351,19.4347,19.1729,19.3723,15147935.447766
2014-04-30,19.3537,19.4887,19.1636,19.2092,9369584.2899377
2014-05-31,19.1999,19.4347,19.0825,19.3797,12015245.51879
2014-06-30,19.4347,19.498,19.1906,19.1906,20606577.870646
2014-07-31,19.2092,19.6332,19.1999,19.6248,20412899.457232
2014-08-31,19.5885,19.8941,19.5437,19.8773,16775868.239599
2014-09-30,19.9491,20.6796,19.9128,20.6432,37172379.118882
2014-10-31,20.6619,20.9144,20.265,20.8427,56441490.84162
2014-11-30,20.9237,21.1949,20.8427,21.1856,36079702.799059
2014-12-31,21.0682,21.645,21.0048,21.6375,33189734.674483
2015-01-31,21.7903,22.7557,21.7633,22.6839,48747671.110868
2015-02-28,22.656,22.7743,22.287,22.7464,35788609.416247
2015-03-31,22.711,23.9204,22.7016,23.3799,73671040.765257
2015-04-30,23.3437,23.6856,22.4407,22.4854,62569306.880085
2015-05-31,22.4761,23.1806,22.0885,22.9812,59805114.732666
2015-06-30,23.0091,23.1713,22.1509,22.5935,76661199.110531
2015-07-31,22.711,23.162,22.5935,22.9551,55281551.702624
2015-08-31,22.9812,23.1899,21.8444,22.6205,67010077.059422
2015-09-30,22.5311,22.7743,22.2059,22.656,26708367.074427
2015-10-31,22.6653,22.9905,22.053,22.7929,24891642.071486
2015-11-30,22.7286,23.5599,22.7286,23.5412,58172744.32903
2015-12-31,23.4704,23.5952,22.8097,23.1536,45950958.298292
2016-01-31,23.1536,23.3968,23.0184,23.3437,38000994.463068
2016-02-29,23.2439,23.2616,22.314,23.0091,28215632.240295
2016-03-31,23.0268,23.0865,22.0642,22.1509,35473849.12822
2016-04-30,22.1882,22.2683,21.74,21.7539,27509162.295098
2016-05-31,21.7186,22.423,21.6282,22.423,38642974.694023
2016-06-30,22.3233,22.6205,21.7726,22.4314,50356557.050403
2016-07-31,22.3233,22.7743,22.2506,22.2692,27888615.128958
2016-08-31,22.3317,22.5311,21.9534,22.4044,35414711.377717
2016-09-30,22.4314,22.45,22.0437,22.2786,29803579.305861
2016-10-31,22.2963,23.1265,22.2963,22.9458,35096838.858922
2016-11-30,22.874,23.7854,22.6205,23.6949,59431496.794904
2016-12-31,23.6493,24.1646,23.2942,23.885,45571049.361647
2017-01-31,24.1105,24.2195,23.1806,23.2263,73582617.996412
2017-02-28,23.3073,23.7135,23.1536,23.5682,34076125.899916
2017-03-31,23.7583,23.8487,23.0362,23.4247,40917735.284529
2017-04-30,23.4425,23.6139,23.0008,23.0808,23703153.044518
2017-05-31,23.0715,23.2532,22.5656,22.6392,22704534.777598
2017-06-30,22.6839,22.8284,22.3056,22.3411,22681198.412754
2017-07-31,22.45,22.5311,21.7008,21.727,18903732.611047
2017-08-31,21.7353,22.0158,21.4931,21.6906,30056400.835693
2017-09-30,21.6822,21.9348,21.3579,21.8258,31349994.188421
2017-10-31,21.9348,22.3411,21.7446,22.1882,25340114.525128
2017-11-30,22.2506,22.3233,21.7186,21.8351,25437829.985773
