Date,Open,High,Low,Close,Volume
2005-02-28,32.9156,33.4827,32.9156,33.2782,135021.38547444
2005-03-31,33.2153,34.6397,32.0239,32.4515,1096265.331018
2005-04-30,32.9361,34.3232,32.018,34.3232,1087928.7937582
2005-05-31,34.4451,36.1733,33.9251,35.5343,1554771.8284964
2005-06-30,35.5726,37.6331,35.4616,36.7621,1098598.9510881
2005-07-31,36.7689,39.5146,36.7522,39.3887,1448303.2102959
2005-08-31,39.5146,39.7377,35.959,37.7904,1973708.5119011
2005-09-30,37.9387,38.8814,36.4809,37.8552,1269754.8258862
2005-10-31,37.925,37.925,34.4677,36.7689,2135857.4677366
2005-11-30,36.7689,38.9266,35.6169,38.2985,1121653.3676738
2005-12-31,38.4087,39.1096,37.52,37.5829,1303996.1735575
2006-01-31,37.8257,40.6263,37.3302,40.4169,11696041.737576
2006-02-28,40.4789,41.6664,39.3051,41.1699,3148799.1342742
2006-03-31,41.7725,43.9844,40.9458,42.8578,2813477.0549052
2006-04-30,43.0033,43.077,40.0434,41.4,1669607.502092
2006-05-31,41.6389,42.0477,38.9266,40.2852,2577993.0202336
2006-06-30,40.3836,42.3122,40.1948,41.8364,2264737.5871418
2006-07-31,42.1009,43.6305,41.7096,43.4653,3442504.64997
2006-08-31,43.2932,45.2082,42.4951,44.9812,3136509.4812374
2006-09-30,45.1797,46.441,44.3343,45.3606,2192164.4444139
2006-10-31,45.5119,48.4581,44.9939,48.169,2506695.5355562
2006-11-30,48.2841,50.6119,45.8679,50.4753,3770447.4442525
2006-12-31,50.6119,51.2066,47.5292,48.8159,4296310.5178855
2007-01-31,49.0342,53.2159,47.8231,53.1029,4699006.4670189
2007-02-28,53.1491,55.4355,50.7692,51.6077,8031136.1774854
2007-03-31,50.9717,51.8594,48.3725,50.3082,5872173.4296044
2007-04-30,50.2757,51.8279,49.7379,50.2423,3435690.9676556
2007-05-31,50.4015,50.6119,46.4065,50.0515,6763673.2635512
2007-06-30,50.2353,50.5607,43.8369,44.9812,5808183.0037602
2007-07-31,45.1453,47.1123,40.644,41.2663,5518024.7126433
2007-08-31,41.2171,44.6558,39.9539,44.0502,12793531.863086
2007-09-30,44.0708,46.5668,42.205,45.3075,6910116.5697521
2007-10-31,45.7134,48.6183,43.5921,46.2562,8231165.2599768
2007-11-30,45.1158,45.216,38.734,41.8748,9712262.2410653
2007-12-31,42.0055,44.1731,38.0439,38.964,12462830.229383
2008-01-31,38.964,40.0041,33.8101,38.6613,29391852.21067
2008-02-29,38.8923,40.3314,36.5635,37.4286,26544613.960087
2008-03-31,37.4207,41.5917,35.6522,39.5558,18195060.71558
2008-04-30,40.4091,43.6236,39.9913,42.0763,24990769.8829
2008-05-31,42.1274,43.5656,40.8977,41.9888,25537336.459438
2008-06-30,42.266,42.7438,36.5989,37.0373,16883724.930511
2008-07-31,36.0681,40.065,33.7216,38.1914,130250199.54864
2008-08-31,38.2081,40.9055,37.0118,39.1007,102489962.81358
2008-09-30,39.3051,43.716,35.3957,38.5443,109729548.08437
2008-10-31,38.3545,38.3545,20.6248,26.3164,128203845.66776
2008-11-30,26.2467,26.9702,14.2784,20.3397,158642457.70783
2008-12-31,19.8325,24.8636,16.1343,23.1079,76633882.74307
2009-01-31,23.2258,23.2996,18.1682,19.0598,95709613.423692
2009-02-28,18.6194,20.0595,14.6952,15.1464,125701329.08218
2009-03-31,14.937,17.2914,12.6476,15.3932,109312103.73778
2009-04-30,15.1208,20.9197,14.9567,20.1176,156241934.76456
2009-05-31,20.1362,21.3139,18.3884,20.6405,116801201.21271
2009-06-30,21.1369,22.2536,18.7462,19.6594,83128839.757281
2009-07-31,19.8,22.1328,17.6393,21.7759,70690728.200123
2009-08-31,22.2448,25.9311,21.8289,24.9,132277512.14771
2009-09-30,24.7043,28.6806,22.9388,26.2811,106570893.62698
2009-10-31,26.2202,26.867,24.3888,25.1054,121428750.48348
2009-11-30,25.1703,27.5836,24.3731,26.7529,84314470.326274
2009-12-31,27.0272,29.5683,26.7411,28.3642,75213396.81299
2010-01-31,28.6679,28.9274,26.5406,26.8001,94312705.804852
2010-02-28,27.0006,28.605,25.5665,28.2963,91672624.655867
2010-03-31,28.4673,32.018,28.3582,30.9436,92675554.339523
2010-04-30,31.1716,34.4638,30.8178,33.1593,93643629.260991
2010-05-31,33.4503,34.4588,28.5293,31.3889,133003288.33492
2010-06-30,30.9642,33.062,28.6738,29.4779,123807079.62157
2010-07-31,29.4956,32.8516,27.8706,32.3001,105725088.59683
2010-08-31,32.829,33.4827,30.4982,31.8912,77336160.983463
2010-09-30,32.308,34.7754,32.2579,33.0207,68395183.572788
2010-10-31,33.2153,35.6169,32.77,34.5807,59321920.218822
2010-11-30,34.7498,36.5478,32.7268,33.9409,58980985.854394
2010-12-31,34.3615,35.3445,33.4425,35.1038,60387972.596013
2011-01-31,35.3495,36.5183,34.5011,36.249,51557926.572172
2011-02-28,36.3973,37.9525,35.9845,37.9525,42477798.672333
2011-03-31,37.9319,38.04,35.3308,37.3382,72034263.669618
2011-04-30,37.5996,39.833,36.4632,39.4821,54551212.41047
2011-05-31,39.6718,40.0385,38.1373,40.0228,53219761.105234
2011-06-30,39.9362,39.9824,36.9204,38.7055,65140211.846225
2011-07-31,38.8137,40.7807,38.6131,39.3081,54160274.08155
2011-08-31,39.7809,39.9284,31.379,37.1022,135698334.67991
2011-09-30,37.0314,37.3273,32.7611,33.0777,80686670.749477
2011-10-31,32.7356,38.445,30.629,37.7972,91292291.378921
2011-11-30,36.6677,38.0341,33.7422,36.3748,54671617.643736
2011-12-31,36.3581,38.6918,35.3091,38.1373,52339395.304272
2012-01-31,38.8245,40.8426,37.4964,40.5694,56564886.454931
2012-02-29,40.9222,41.6536,39.9648,40.1004,64162652.905614
2012-03-31,40.1368,42.2769,39.8802,42.1854,67735853.504033
2012-04-30,42.2375,43.5823,40.3236,43.3896,65355094.105108
2012-05-31,43.4437,44.1996,40.3668,41.4373,69705558.036598
2012-06-30,40.8279,43.7464,39.8586,43.7209,71931218.168914
2012-07-31,44.064,45.2466,43.3896,44.5957,55607856.046585
2012-08-31,44.8514,45.1384,43.6334,44.5909,59259446.544296
2012-09-30,44.5957,46.2394,43.5085,43.7553,91697565.093206
2012-10-31,43.8477,44.6685,42.7015,43.3651,70648017.052668
2012-11-30,43.4427,44.1741,41.5297,43.25,80811926.331694
2012-12-31,43.4575,44.9487,43.193,44.874,74041114.876325
2013-01-31,45.6427,47.2775,45.1522,46.5511,75819336.42152
2013-02-28,46.7968,47.7857,46.3938,47.1152,74530601.350095
2013-03-31,46.9904,48.5043,46.7526,48.4669,74293216.035601
2013-04-30,48.5603,51.7433,48.1809,51.7355,77751814.932794
2013-05-31,51.8082,54.194,48.6154,48.6389,105990028.73558
2013-06-30,48.6272,49.1364,44.5967,47.6766,160945897.37673
2013-07-31,48.0521,50.5509,46.7407,48.1061,83959629.864916
2013-08-31,48.2939,48.4345,44.0335,44.7501,101483307.88289
2013-09-30,44.9202,48.6095,43.9804,46.3092,105396630.04607
2013-10-31,46.3141,49.8018,45.7902,48.401,99597987.011363
2013-11-30,48.5957,48.9751,45.7902,45.8609,74299351.198044
2013-12-31,45.8098,46.5677,44.7806,45.9042,94505792.01159
2014-01-31,45.7106,48.0826,45.5444,47.8683,95827021.776083
2014-02-28,47.7965,50.4762,46.9245,50.2943,116641775.49181
2014-03-31,49.9818,51.2056,48.9113,50.5421,113596357.55772
2014-04-30,50.6521,52.2397,50.1951,52.2034,96112118.125845
2014-05-31,52.2899,53.6927,51.7532,53.4538,83752274.395439
2014-06-30,53.6229,54.945,52.7116,54.0633,91823494.10894
2014-07-31,54.0977,55.5358,53.678,54.1045,82058353.095049
2014-08-31,54.0977,56.2278,53.4528,55.7521,65651291.935177
2014-09-30,55.6587,56.4038,51.8299,52.3853,103792863.38608
2014-10-31,52.2024,57.6336,51.9999,57.5904,128480039.87749
2014-11-30,57.6208,59.3775,56.911,58.7434,80695030.683974
2014-12-31,58.7198,61.4045,57.7221,59.8611,126253450.97659
2015-01-31,60.3802,65.9746,60.1128,63.9632,134585662.79942
2015-02-28,63.9505,64.8784,60.9188,61.6139,128645597.70902
2015-03-31,61.7653,64.7487,59.286,62.6804,134573321.26555
2015-04-30,62.6952,63.9387,58.651,59.0118,109083491.36988
2015-05-31,59.0826,60.6406,57.78,58.8349,118589457.12075
2015-06-30,58.9774,59.6675,55.9487,56.0902,135937947.81827
2015-07-31,55.8582,59.7973,55.8425,59.3244,110793220.04702
2015-08-31,59.5289,60.7006,54.2559,55.5938,121859351.19815
2015-09-30,55.0404,58.3807,53.8224,57.2955,115912209.96948
2015-10-31,57.3879,62.0179,56.915,60.5934,111677822.78241
2015-11-30,60.7292,61.8891,57.7368,60.216,105824887.98523
2015-12-31,60.2976,62.2253,58.4554,61.318,120863017.50078
2016-01-31,60.8097,61.9383,55.6282,59.2084,154197041.68508
2016-02-29,58.8477,59.8169,54.5175,58.9961,115175943.68193
2016-03-31,59.0472,65.254,58.941,65.1695,104782642.80529
2016-04-30,65.0377,69.4918,62.7444,63.6399,90373555.126599
